Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ
Kim ¤ T­êng V©n Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(9)	2	99999	10	0																						36	120	39	9									1874	1834	1894	2137	2254	2214	220	161	9	2541	2194		
Kim ¤ T­êng V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(10)	1	99999	10	0																						36	120	39	9									1874	1854	1894	2097	2254	2214	220	161	10	130			
Phi phong L¨ng V©n	0	12	0	\spr\item\equip\pifengtubiao\pifeng_01.spr	338	1	1	Phi Phong L¨ng V©n	5	999	1	0	233	484	484	234	3	3	235	360	360	236	3	3	243	7	7	227	1	1				47	200																		264	1				
Phi phong TuyÖt ThÕ	0	12	0	\spr\item\equip\pifengtubiao\pifeng_02.spr	338	1	1	Phi Phong TuyÖt ThÕ	5	999	2	0	233	624	624	234	5	5	235	440	440	236	5	5	243	13	13	227	1	1				47	500																		265	1				
Phi phong cÊp Ph¸ Qu©n ( dÞch chuyÓn tøc thêi )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_03.spr	338	1	1	"Phi Phong Ph¸ Qu©n, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé"	5	999	3	0	233	780	780	234	7	7	235	520	520	236	7	7	243	20	20	227	1	1				47	1500											2690		2691					266	1				
Phi phong Ngao tuyÕt (DÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_04.spr	338	1	1	"Phi Phong Ng¹o TuyÕt, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé"	5	999	4	0	233	952	952	234	11	11	235	600	600	236	11	11	243	36	36	227	2	2				47	5000											2696		2697					267	1				
Phi phong Ng¹o TuyÕt (X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_04.spr	338	1	1	"Phi Phong Ng¹o TuyÕt, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o"	5	999	4	0	233	952	952	234	11	11	235	600	600	236	11	11	243	36	36	227	2	2				47	5000											2688		2689					268	1				
Phi phong Kinh L«i (DÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	"Phi Phong K×nh L«i, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé"	5	999	5	0	233	1368	1368	234	17	17	235	680	680	236	17	17	243	60	60	227	3	3				47	10000											2702		2703					269	1				
Phi phong Kinh L«i (X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	"Phi Phong K×nh L«i, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o"	5	999	5	0	233	1368	1368	234	17	17	235	680	680	236	17	17	243	60	60	227	3	3				47	10000											2694		2695					270	1				
Phi phong Kinh L«i ( Träng kÝch )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_05.spr	338	1	1	"Phi Phong K×nh L«i, kÌm theo kü n¨ng Träng KÝch TuyÖt §èi"	5	999	5	0	233	1368	1368	234	17	17	235	680	680	236	17	17	243	60	60	227	3	3				47	10000											2692		2693					271	1				
Phi phong Ngù Phong (DÞch chuyÓn tøc thêi )	0	12	0	\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	"Phi Phong Ngù Phong, kÌm theo kü n¨ng HuyÔn Anh Mª Tung Bé"	5	999	6	0	233	1680	1680	234	25	25	235	760	760	236	25	25	243	84	84	227	3	3				47	27000											2708		2709					272	1				
Phi phong Ngù Phong (X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	"Phi Phong Ngù Phong, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o"	5	999	6	0	233	1680	1680	234	25	25	235	760	760	236	25	25	243	84	84	227	3	3				47	27000											2700		2701					273	1				
Phi phong Ngù Phong (Träng kÝch)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_06.spr	338	1	1	"Phi Phong Ngù Phong, kÌm theo kü n¨ng Träng KÝch TuyÖt §èi"	5	999	6	0	233	1680	1680	234	25	25	235	760	760	236	25	25	243	84	84	227	3	3				47	27000											2698		2699					274	1				
Phi Phong PhÖ Quang ( dÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_07.spr	338	1	1	"Phi Phong CÊp PhÖ Quang, mang kü n¨ng HuyÔn Anh Mª Tung Bé"	5	999	7	0	233	2016	2016	234	35	35	235	840	840	236	35	35	243	108	108	227	4	4				47	54000											2708		2709					275	1				
Phi Phong CÊp PhÖ Quang (hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_07.spr	338	1	1	"Phi Phong CÊp PhÖ Quang, mang kü n¨ng §¹i DiÖp KhÝ Tr¸o "	5	999	7	0	233	2016	2016	234	35	35	235	840	840	236	35	35	243	108	108	227	4	4				47	54000											2706		2707					276	1				
Phi Phong PhÖ Quang ( träng kÝch)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_07.spr	338	1	1	"Phi Phong CÊp PhÖ Quang, mang kü n¨ng Träng KÝch TuyÖt §èi"	5	999	7	0	233	2016	2016	234	35	35	235	840	840	236	35	35	243	108	108	227	4	4				47	54000											2704		2705					277	1				
Phi Phong KhÊp ThÇn (dÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_08.spr	338	1	1	"Phi Phong KhÊp ThÇn, kÌm theo kü n¨ng HuyÔn ¶nh Mª Tung Bé"	5	999	8	0	233	2392	2392	234	47	47	235	920	920	236	47	47	243	132	132	227	4	4				47	120000											2708		2709					278	1				
Phi Phong KhÊp ThÇn (hãa gi¶I s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_08.spr	338	1	1	"Phi Phong KhÊp ThÇn, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o"	5	999	8	0	233	2392	2392	234	47	47	235	920	920	236	47	47	243	132	132	227	4	4				47	120000											2706		2707					279	1				
Phi Phong KhÊp ThÇn (träng kÝch)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_08.spr	338	1	1	"Phi Phong KhÊp ThÇn, kÌm theo kü n¨ng Träng KÝch TuyÖt §èi"	5	999	8	0	233	2392	2392	234	47	47	235	920	920	236	47	47	243	132	132	227	4	4				47	120000											2710		2711					280	1				
Phi phong K×nh Thiªn(DÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_09.spr	338	1	1	"Phi Phong K×nh Thiªn, kÌm theo kü n¨ng HuyÔn ¶nh Mª Tung Bé"	5	999	9	0	233	2798	2798	234	61	61	235	1000	1000	236	61	61	243	156	156	227	5	5				47	240000											2708		2709					281	1				
Phi phong K×nh Thiªn(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_09.spr	338	1	1	"Phi Phong K×nh Thiªn, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o"	5	999	9	0	233	2798	2798	234	61	61	235	1000	1000	236	61	61	243	156	156	227	5	5				47	240000											2706		2707					282	1				
Phi phong K×nh Thiªn(Träng kÝch)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_09.spr	338	1	1	"Phi Phong K×nh Thiªn, kÌm theo kü n¨ng Träng KÝch TuyÖt §èi"	5	999	9	0	233	2798	2798	234	61	61	235	1000	1000	236	61	61	243	156	156	227	5	5				47	240000											2710		2711					283	1				
Phi phong V« Cùc(DÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_10.spr	338	1	1	"Phi Phong V« Cùc, kÌm theo kü n¨ng HuyÔn ¶nh Mª Tung Bé"	5	999	10	0	233	3234	3234	234	77	77	235	1080	1080	236	77	77	243	180	180	227	6	6				47	280000											2708		2709					284	1				
Phi phong V« Cùc(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_10.spr	338	1	1	"Phi Phong V« Cùc, kÌm theo kü n¨ng §¹i DiÖp KhÝ Tr¸o"	5	999	10	0	233	3234	3234	234	77	77	235	1080	1080	236	77	77	243	180	180	227	6	6				47	280000											2706		2707					285	1				
Phi phong V« Cùc(Träng kÝch)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_10.spr	338	1	1	"Phi Phong V« Cùc, kÌm theo kü n¨ng Träng KÝch TuyÖt §èi"	5	999	10	0	233	3234	3234	234	77	77	235	1080	1080	236	77	77	243	180	180	227	6	6				47	280000											2710		2711					286	1				
Phi Phong Cao CÊp V« Cùc(DÞch chuyÓn tøc thêi)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_11.spr	338	1	1	"Phi Phong Cao CÊp V« Cùc, kÌm theo kü n¨ng HuyÔn ¶nh Mª Tung Bé"	5	999	10	0	233	3234	3234	234	77	77	235	1080	1080	236	77	77	243	180	180	227	6	6				47	280000											2708		2709					287	1				
Phi Phong Cao CÊp V« Cùc(X¸c suÊt hãa gi¶i s¸t th­¬ng)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_11.spr	338	1	1	"Phi Phong Cao CÊp V« Cùc, kÌm theo kü n¨ng HuyÔn ¶nh Mª Tung Bé"	5	999	10	0	233	3234	3234	234	77	77	235	1080	1080	236	77	77	243	180	180	227	6	6				47	280000											2706		2707					288	1				
Phi Phong Cao CÊp V« Cùc(Träng kÝch)	0	12	0	\spr\item\equip\pifengtubiao\pifeng_11.spr	338	1	1	"Phi Phong Cao CÊp V« Cùc, kÌm theo kü n¨ng HuyÔn ¶nh Mª Tung Bé"	5	999	10	0	233	3234	3234	234	77	77	235	1080	1080	236	77	77	243	180	180	227	6	6				47	280000											2710		2711					289	1				
Tr­êng sinh	0	14	0	\spr\item\script\shipin\shipin17.spr	36	1	1	"<color=Yellow>S¾c Nh­ Thu Thñy Liªn BÝch, ChÊt BØ Mü Ngäc V« Hoa.<enter>Kim NhËt §¾c Thö Tr­êng Sanh, Tha Niªn TÊt N¨ng Tr­ëng Sinh.<color>"	5	999	10	0	233	520	520																																						290	1				
Bét H¶i	0	14	0	\spr\item\script\shipin\shipin5.spr	36	1	1	"<color=Yellow>Am LiÖm KhÝ Tøc, Phong Hoa Néi U©n.<color>"	5	999	10	0	235	520	520																																						291	1				
Vò Uy	0	14	0	\spr\item\script\shipin\shipin12.spr	36	1	1	"<color=Yellow>HiÖp DÜ Vò Ph¹m CÊm, Dao KiÕm Kh¶ Phiªn Thiªn.<enter>KhÝ Né Hµo Hïng, BÊt Né Tù Uy.<color>"	5	999	10	0	99	30	30																																						292	1				
Nh­îc Thñy	0	14	0	\spr\item\script\shipin\shipin1.spr	36	1	1	"<color=Yellow>Quang Ho¹t Nh­ Thñy, Nh­ §ång Liªn Cèt Thanh Ba.<color>"	5	999	10	0	100	30	30																																						293	1				
TrÊn Nh¹c	0	14	0	\spr\item\script\shipin\shipin8.spr	36	1	1	"<color=Yellow>Th¸i Ngò Nh¹c Tinh Hoa, LÞch Thiªn Niªn §iªu Tr¸c.<color>"	5	999	10	0	97	30	30																																						294	1				
Yªn Ba	0	14	0	\spr\item\script\shipin\shipin9.spr	36	1	1	"<color=Yellow>Tö M¹ch Thanh M«n, Vò Ph¸ch V©n Hån, Phï B×nh §¹p Thñy, Yªn Ba BÊt H­ng.<color>"	5	999	10	0	98	30	30																																						295	1				
ThÇn TuÖ	0	14	0	\spr\item\script\shipin\shipin7.spr	36	1	1	"<color=Yellow>Minh Môc TuÖ Nh·n, BÊt Nh­îc Minh T©m TuÖ ThÇn<color>"	5	999	10	0	166	840	840																																						296	1				
Truy Anh 	0	14	0	\spr\item\script\shipin\shipin3.spr	36	1	1	"<color=Yellow>Nh­ Hoa Léng Anh, Nh­ Ng­ HÝ Thñy, Nh­ Phong XiÕt §iÖn<color>"	5	999	10	0	150	800	800																																						297	1				
Long §¶m	0	14	0	\spr\item\script\shipin\shipin19.spr	36	1	1	"<color=Yellow>HuyÕt NhiÔm Chinh Bµo ThÊu Gi¸p Hång, Thiªn H¹ Thïy C¶m D÷ Tranh Phong.<color>"	5	999	10	0	243	20	20																																						298	1				
L­u Huúnh	0	14	0	\spr\item\script\shipin\shipin18.spr	36	1	1	"<color=Yellow>Khèi Vu Khinh La TiÓu PhiÕn, B¹c Tô Nhu Th­êng Chi Th­îng,  Nh­ Am §¹m Tinh Quang.<color>"	5	999	10	0	237	40	40																																						299	1				
Cuång Lan	0	14	0	\spr\item\script\shipin\shipin6.spr	36	1	1	"<color=Yellow>Né Lang Cuång Lan, Thïy N¨ng Th­¬ng H¶I Hoµnh L­u.<color>"	5	999	10	0	249	2	2																																						300	1				
Thóy Ngäc B¨ng HuyÒn	0	14	0	\spr\item\script\shipin\shipin20.spr	36	1	1	"<color=Yellow>BÝch Thñy Ng­ng B¨ng, Tho¸i Ngäc Thµnh QuyÕt.<color>"	5	999	10	0																																		2712							301	1				
Hång Anh	0	14	0	\spr\item\script\shipin\shipin14.spr	36	1	1	Trang søc	5	999	10	0	176	50	50																																						302	1				
Ng­ng TuyÕt Hµn S­¬ng	0	14	0	\spr\item\script\shipin\shipin10.spr	36	1	1	"<color=Yellow>S­¬ng Trïng B¨ng Hµn, Ph­¬ng PhØ TËn Yªm, Sö Chi T¾c Håi KhuyÕt Khuynh Thµnh.<color>"	5	999	10	0																																		2713							303	1				
DiÖu Gi¶i TrÇn Duyªn	0	14	0	\spr\item\script\shipin\shipin15.spr	36	1	1	"<color=Yellow>T­¬ng TruyÒn VÞ ThiÕu L©m Tù NhÊt T¶o  §Þa T¨ng Së Tr×. <enter>Kinh Thanh PhËt HiÖu, ¢n O¸n LiÔu TËn, Mé Cæ ThÇn Chung, v¹n Sù Giai Kh«ng.<color>"	5	999	10	0	254	70	70																																						304	1				
Lùc Ph¸ Qu©n Tinh	0	14	0	\spr\item\script\shipin\shipin13.spr	36	1	1	"<color=Yellow>Tr­îng Phu Nam Nhi ChÝ, NhÊt Lùc Kh¶ Sanh Thiªn.<color>"	5	999	10	0	255	10	10																																						305	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									306	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									307	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									308	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									309	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									310	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									311	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									312	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									313	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									314	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									315	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									316	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									317	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									318	1				
Trang søc	0	14	0	\spr\item\script\wuxingyin_1.spr	36	1	1	Trang søc	5	999	10	0																																									319	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	1	0																						36	60											129	130					313	320	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	2	0																						36	60											129	130					314	321	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	3	0																						36	60											129	130					315	322	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	4	0																						36	60											129	130					316	323	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	5	0																						36	60											129	130					317	324	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	6	0																						36	60											129	130					318	325	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	7	0																						36	60											129	130					319	326	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	8	0																						36	60											129	130					320	327	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	9	0																						36	60											129	130					321	328	1				
Nh· §iÓn Chi Hån ( míi )	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	49999	10	0																						36	60											129	130					322	329	1				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	1	0																						36	60											129	130					313	320	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	2	0																						36	60											129	130					314	321	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	3	0																						36	60											129	130					315	322	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	4	0																						36	60											129	130					316	323	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	5	0																						36	60											129	130					317	324	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	6	0																						36	60											129	130					318	325	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	7	0																						36	60											129	130					319	326	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	8	0																						36	60											129	130					320	327	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	9	0																						36	60											129	130					321	328	2				
B¾c Kinh Chi Méng ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	49999	10	0																						36	60											129	130					322	329	2				
L·nh B¸ Nguyªn Méng Chi Giíi ( míi )	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	49999	10	0																						36	60											129	131					323	330	1				
Tr­êng sinh	0	14	0	\spr\item\script\shipin\shipin17.spr	36	1	1	"<color=Yellow>S¾c Nh­ Thu Thñy Liªn BÝch, ChÊt BØ Mü Ngäc V« Hoa.<enter>Kim NhËt §¾c Thö Tr­êng Sanh, Tha Niªn TÊt N¨ng Tr­ëng Sinh.<color>"	5	999	10	0	233	360	680																																						290	1				
Bét H¶i	0	14	0	\spr\item\script\shipin\shipin5.spr	36	1	1	"<color=Yellow>Am LiÖm KhÝ Tøc, Phong Hoa Néi U©n.<color>"	5	999	10	0	235	360	680																																						291	1				
Vò Uy	0	14	0	\spr\item\script\shipin\shipin12.spr	36	1	1	"<color=Yellow>HiÖp DÜ Vò Ph¹m CÊm, Dao KiÕm Kh¶ Phiªn Thiªn.<enter>KhÝ Né Hµo Hïng, BÊt Né Tù Uy.<color>"	5	999	10	0	99	20	50																																						292	1				
Nh­îc Thñy	0	14	0	\spr\item\script\shipin\shipin1.spr	36	1	1	"<color=Yellow>Quang Ho¹t Nh­ Thñy, Nh­ §ång Liªn Cèt Thanh Ba.<color>"	5	999	10	0	100	20	50																																						293	1				
TrÊn Nh¹c	0	14	0	\spr\item\script\shipin\shipin8.spr	36	1	1	"<color=Yellow>Th¸i Ngò Nh¹c Tinh Hoa, LÞch Thiªn Niªn §iªu Tr¸c.<color>"	5	999	10	0	97	20	50																																						294	1				
Yªn Ba	0	14	0	\spr\item\script\shipin\shipin9.spr	36	1	1	"<color=Yellow>Tö M¹ch Thanh M«n, Vò Ph¸ch V©n Hån, Phï B×nh §¹p Thñy, Yªn Ba BÊt H­ng.<color>"	5	999	10	0	98	20	50																																						295	1				
ThÇn TuÖ	0	14	0	\spr\item\script\shipin\shipin7.spr	36	1	1	"<color=Yellow>Minh Môc TuÖ Nh·n, BÊt Nh­îc Minh T©m TuÖ ThÇn<color>"	5	999	10	0	166	600	1200																																						296	1				
Truy Anh 	0	14	0	\spr\item\script\shipin\shipin3.spr	36	1	1	"<color=Yellow>Nh­ Hoa Léng Anh, Nh­ Ng­ HÝ Thñy, Nh­ Phong XiÕt §iÖn<color>"	5	999	10	0	150	500	1000																																						297	1				
Long §¶m	0	14	0	\spr\item\script\shipin\shipin19.spr	36	1	1	"<color=Yellow>HuyÕt NhiÔm Chinh Bµo ThÊu Gi¸p Hång, Thiªn H¹ Thïy C¶m D÷ Tranh Phong.<color>"	5	999	10	0	243	5	25																																						298	1				
L­u Huúnh	0	14	0	\spr\item\script\shipin\shipin18.spr	36	1	1	"<color=Yellow>Khèi Vu Khinh La TiÓu PhiÕn, B¹c Tô Nhu Th­êng Chi Th­îng,  Nh­ Am §¹m Tinh Quang.<color>"	5	999	10	0	237	20	50																																						299	1				
Cuång Lan	0	14	0	\spr\item\script\shipin\shipin6.spr	36	1	1	"<color=Yellow>Né Lang Cuång Lan, Thïy N¨ng Th­¬ng H¶I Hoµnh L­u.<color>"	5	999	10	0	249	1	5																																						300	1				
DiÖu Gi¶i TrÇn Duyªn	0	14	0	\spr\item\script\shipin\shipin15.spr	36	1	1	"<color=Yellow>T­¬ng TruyÒn VÞ ThiÕu L©m Tù NhÊt T¶o  §Þa T¨ng Së Tr×. <enter>Kinh Thanh PhËt HiÖu, ¢n O¸n LiÔu TËn, Mé Cæ ThÇn Chung, v¹n Sù Giai Kh«ng.<color>"	5	999	10	0	254	70	99																																						304	1				
Lùc Ph¸ Qu©n Tinh	0	14	0	\spr\item\script\shipin\shipin13.spr	36	1	1	"<color=Yellow>Tr­îng Phu Nam Nhi ChÝ, NhÊt Lùc Kh¶ Sanh Thiªn.<color>"	5	999	10	0	255	5	15																																						305	1				
[Tinh X¶o] V« Danh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	B¹n ®· trë thµnh ng­êi mµ ai còng ng­ìng mé! Xin chóc mõng! <color>	2	99999	1	0																						36	60											2730	2740					324	331	1	130		2	10
[Tinh X¶o] V« Danh Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Vinh quang chØ dµnh cho nh÷ng ai thùc sù muèn cã<color>	3	99999	1	0																						36	60											2730	2740					324	331	2	130		2	10
